"id","code","created_by","created_on","deleted","modified_by","modified_on","name","admin_area_subdivision_middle"
1,"751","FAB User","2018-01-23 15:05:17",0,"FAB User","2018-01-23 15:05:17","Paris",1
2,"772","FAB User","2018-01-23 15:05:27",0,"FAB User","2018-01-23 15:05:27","Arrondissement de Melun",2
3,"775","FAB User","2018-01-23 15:05:27",0,"FAB User","2018-01-23 15:05:27","Arrondissement de Torcy",2
4,"771","FAB User","2018-01-23 15:05:28",0,"FAB User","2018-01-23 15:05:28","Arrondissement de Meaux",2
5,"773","FAB User","2018-01-23 15:05:28",0,"FAB User","2018-01-23 15:05:28","Arrondissement de Provins",2
6,"774","FAB User","2018-01-23 15:05:28",0,"FAB User","2018-01-23 15:05:28","Arrondissement de Fontainebleau",2
7,"","FAB User","2018-01-23 15:05:29",0,"FAB User","2018-01-23 15:05:29","",2
8,"784","FAB User","2018-01-23 15:05:36",0,"FAB User","2018-01-23 15:05:36","Arrondissement de Versailles",3
